valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
ALVARO LOZA,ALVARO LOZA,314,8,BAJA,
VINIFÍCATE,VINIFÍCATE,315,8,BAJA,
LAGAR DE LOS FRAILES,LAGAR DE LOS FRAILES,316,8,BAJA,
LUIS A.RODRIGUEZ,LUIS A.RODRIGUEZ,317,8,BAJA,
AGRICOLA CASTELLANA,AGRICOLA CASTELLANA,318,8,BAJA,
Poderi Luigi Einaudi,Poderi Luigi Einaudi,319,8,BAJA,
Valentin Krug,Valentin Krug,320,8,BAJA,
Domaine Clément Lavallée - Chablis,Domaine Clément Lavallée - Chablis,321,8,BAJA,
LOSADA VINOS DE FINCA,LOSADA VINOS DE FINCA,322,8,BAJA,
ORLEANS-BORBÓN,ORLEANS-BORBÓN,323,8,BAJA,
Il Marroneto Montalcino,Il Marroneto Montalcino,324,8,BAJA,
SÍLICE VITICULTORES,SÍLICE VITICULTORES,325,8,BAJA,
Domaine de la Grande Coline,Domaine de la Grande Coline,326,8,BAJA,
Maison Lá - Yoojin Kim,Maison Lá - Yoojin Kim,327,8,BAJA,
Celler Salace - Catalunya,Celler Salace - Catalunya,328,8,BAJA,
Bodegas Pinea,Bodegas Pinea,329,8,BAJA,
Cantina Rizzi - Piemonte,Cantina Rizzi - Piemonte,330,8,BAJA,
Azienda Agricola Sciara - Sicilia,Azienda Agricola Sciara - Sicilia,331,8,BAJA,
Moritz Kissinger,Moritz Kissinger,332,8,BAJA,
Alvina Pernot,Alvina Pernot,333,8,BAJA,
CHAMPAGNE LARMANDIER BERNIER,CHAMPAGNE LARMANDIER BERNIER,334,8,BAJA,
DOMAINE BERSAN,DOMAINE BERSAN,335,8,BAJA,
DOMAINE BRUNO CLAIR,DOMAINE BRUNO CLAIR,336,8,BAJA,
TORRE IN PIETRA,TORRE IN PIETRA,337,8,BAJA,
PHILIPPE CHATILLON,PHILIPPE CHATILLON,338,8,BAJA,
CHAMPAGNE BARON-FUENTÉ,CHAMPAGNE BARON-FUENTÉ,339,8,BAJA,
DOMAINE LEDOGAR,DOMAINE LEDOGAR,340,8,BAJA,
DOMAINE ERIC BORDELET,DOMAINE ERIC BORDELET,341,8,BAJA,
ADEGA ENTRE OS RIOS,ADEGA ENTRE OS RIOS,342,8,BAJA,
Domaine de Courbissac.,Domaine de Courbissac.,343,8,BAJA,
D.CHAVY-CHOUET,D.CHAVY-CHOUET,344,4,ALTA,
D. CHAVY-CHOUET,D.CHAVY-CHOUET,344,4,ALTA,
BODEGA LOS LOROS,BODEGA LOS LOROS,345,7,BAJA,
Martin Kieninger,Martin Kieninger,346,7,BAJA,
Doniene Gorrondona,Doniene Gorrondona,347,7,BAJA,
Susana Balbo,Susana Balbo,348,7,BAJA,
Bender Mosel/Pfalz,Bender Mosel/Pfalz,349,7,BAJA,
Costers del Priorat,Costers del Priorat,350,7,BAJA,
Jose Antonio García Bierzo,Jose Antonio García Bierzo,351,7,BAJA,
SEBASTIEN DAVIAUX,SEBASTIEN DAVIAUX,352,7,BAJA,
COUTIER,COUTIER,353,7,BAJA,
BARÓN FUENTE,BARÓN FUENTE,354,7,BAJA,
MICHAEL W. SALVERDA,MICHAEL W. SALVERDA,355,7,BAJA,
DISZNÓKÓ,DISZNÓKÓ,356,7,BAJA,
El Mondero,El Mondero,357,7,BAJA,
DE LADOUCETTE,DE LADOUCETTE,358,7,BAJA,
TORRALBA,TORRALBA,359,7,BAJA,
MAESTRO SIERRA,MAESTRO SIERRA,360,7,BAJA,
C. DE LOS AGUILARES,C. DE LOS AGUILARES,361,7,BAJA,
SZEPSY,SZEPSY,362,7,BAJA,
Bodegas Margon,Bodegas Margon,363,7,BAJA,
RAVENTOS I BLANC,RAVENTOS I BLANC,364,7,BAJA,
BODEGA QUINTA DE COUSELO,BODEGA QUINTA DE COUSELO,365,7,BAJA,
Palacios Remondo,Palacios Remondo,366,7,BAJA,
Bodegas Loess,Bodegas Loess,367,7,BAJA,
Astobiza,Astobiza,368,7,BAJA,
Jacques Selosse Champagne,Jacques Selosse Champagne,369,7,BAJA,
Reta,Reta,370,7,BAJA,
PARDEVALLES,PARDEVALLES,371,7,BAJA,
Argento,Argento,372,7,BAJA,
VIÑA MEIN,VIÑA MEIN,373,7,BAJA,
Mendel Wines,Mendel Wines,374,7,BAJA,
SOTO I MANRIQUE,SOTO I MANRIQUE,375,7,BAJA,
CAPUCHINA VIEJA,CAPUCHINA VIEJA,376,7,BAJA,
Domaine Voarick - Aloxe Corton,Domaine Voarick - Aloxe Corton,377,7,BAJA,
Domaine Didier Amiot - Morey St Denis,Domaine Didier Amiot - Morey St Denis,378,7,BAJA,
TESO LA MONJA,TESO LA MONJA,379,7,BAJA,
Domaine Tessier,Domaine Tessier,380,7,BAJA,
